yearMonth,count
2000-01-01,12
2000-02-01,222
2000-03-01,576
2000-04-01,647
2000-05-01,1098
2000-06-01,2307
2000-07-01,107
2000-08-01,4743
2000-09-01,3301
2000-10-01,4255
2000-11-01,5017
2000-12-01,4819
2001-01-01,220
2001-02-01,3153
2001-03-01,4823
2001-04-01,4054
2001-05-01,5868
2001-06-01,5084
2001-07-01,199
2001-08-01,6271
2001-09-01,3958
2001-10-01,4816
2001-11-01,5344
2001-12-01,5366
2002-01-01,218
2002-02-01,3185
2002-03-01,4793
2002-04-01,4812
2002-05-01,5962
2002-06-01,6059
2002-07-01,296
2002-08-01,5914
2002-09-01,5057
2002-10-01,8068
2002-11-01,9574
2002-12-01,13298
2003-01-01,1293
2003-02-01,8726
2003-03-01,12639
2003-04-01,14259
2003-05-01,14241
2003-06-01,16940
2003-07-01,953
2003-08-01,18850
2003-09-01,17196
2003-10-01,20102
2003-11-01,18526
2003-12-01,20440
2004-01-01,754
2004-02-01,11137
2004-03-01,24722
2004-04-01,20646
2004-05-01,20489
2004-06-01,25490
2004-07-01,3686
2004-08-01,23938
2004-09-01,23300
2004-10-01,21315
2004-11-01,21965
2004-12-01,25790
2005-01-01,760
2005-02-01,11998
2005-03-01,26251
2005-04-01,22408
2005-05-01,21814
2005-06-01,29089
2005-07-01,18033
2005-08-01,26014
2005-09-01,23623
2005-10-01,22118
2005-11-01,25293
2005-12-01,25723
2006-01-01,15794
2006-02-01,12219
2006-03-01,27052
2006-04-01,25350
2006-05-01,28483
2006-06-01,28662
2006-07-01,23002
2006-08-01,34301
2006-09-01,27000
2006-10-01,28537
2006-11-01,32323
2006-12-01,31973
2007-01-01,7171
2007-02-01,21820
2007-03-01,34138
2007-04-01,29551
2007-05-01,34852
2007-06-01,30634
2007-07-01,26801
2007-08-01,36776
2007-09-01,30171
2007-10-01,34086
2007-11-01,32273
2007-12-01,29654
2008-01-01,12780
2008-02-01,20196
2008-03-01,32816
2008-04-01,34032
2008-05-01,33247
2008-06-01,35545
2008-07-01,34177
2008-08-01,45412
2008-09-01,38270
2008-10-01,45866
2008-11-01,39761
2008-12-01,33548
2009-01-01,18204
2009-02-01,17460
2009-03-01,43022
2009-04-01,43083
2009-05-01,35652
2009-06-01,41244
2009-07-01,38571
2009-08-01,42821
2009-09-01,43666
2009-10-01,40700
2009-11-01,39835
2009-12-01,32906
2010-01-01,22982
2010-02-01,20864
2010-03-01,43883
2010-04-01,38889
2010-05-01,44821
2010-06-01,37571
2010-07-01,39317
2010-08-01,40314
2010-09-01,38927
2010-10-01,38610
2010-11-01,39392
2010-12-01,34991
2011-01-01,20010
2011-02-01,27162
2011-03-01,37795
2011-04-01,36449
2011-05-01,38173
2011-06-01,42342
2011-07-01,35974
2011-08-01,44597
2011-09-01,40687
2011-10-01,37855
2011-11-01,37043
2011-12-01,34255
2012-01-01,17173
2012-02-01,24373
2012-03-01,42825
2012-04-01,37704
2012-05-01,45831
2012-06-01,40870
2012-07-01,32243
2012-08-01,45656
2012-09-01,34618
2012-10-01,43379
2012-11-01,37585
2012-12-01,32612
2013-01-01,16343
2013-02-01,21962
2013-03-01,38792
2013-04-01,39893
2013-05-01,38117
2013-06-01,39811
2013-07-01,31737
2013-08-01,41841
2013-09-01,36519
2013-10-01,43293
2013-11-01,38288
2013-12-01,31896
2014-01-01,16136
2014-02-01,22415
2014-03-01,33838
2014-04-01,36927
2014-05-01,36900
2014-06-01,26766
2014-07-01,35550
2014-08-01,40608
2014-09-01,38130
2014-10-01,42740
2014-11-01,37506
2014-12-01,37183
2015-01-01,17096
2015-02-01,29100
2015-03-01,41133
2015-04-01,39881
2015-05-01,33891
2015-06-01,36962
2015-07-01,36145
2015-08-01,38498
2015-09-01,38599
2015-10-01,21560
2015-11-01,44918
2015-12-01,31096
2016-01-01,13455
2016-02-01,23148
2016-03-01,35486
2016-04-01,29451
2016-05-01,32326
2016-06-01,43092
2016-07-01,37561
2016-08-01,42904
2016-09-01,38194
2016-10-01,38019
2016-11-01,37958
2016-12-01,31796
2017-01-01,8626
2017-02-01,27212
2017-03-01,44352
2017-04-01,32129
2017-05-01,36362
2017-06-01,33478
2017-07-01,33534
2017-08-01,41154
2017-09-01,32806
2017-10-01,37405
2017-11-01,36977
2017-12-01,28945
